Using cpu device
---------------------------------
| rollout/           |          |
|    iterations           | 46           |
|    time_elapsed         | 134          |
|    total_timesteps      | 235520       |
| train/                  |              |
|    approx_kl            | 0.0031254669 |
|    clip_fraction        | 0.0467       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.12        |
|    explained_variance   | 0.986        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.000393    |
|    n_updates            | 360          |
|    policy_gradient_loss | -0.00251     |
|    std                  | 0.939        |
|    value_loss           | 0.0236       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.71        |
| time/                   |              |
|    fps                  | 1747         |
|    iterations           | 47           |
|    time_elapsed         | 137          |
|    total_timesteps      | 240640       |
| train/                  |              |
|    approx_kl            | 0.0024424135 |
|    clip_fraction        | 0.0414       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.11        |
|    explained_variance   | 0.986        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.00122     |
|    n_updates            | 368          |
|    policy_gradient_loss | -0.00291     |
|    std                  | 0.939        |
|    value_loss           | 0.0228       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.72        |
| time/                   |              |
|    fps                  | 1747         |
|    iterations           | 48           |
|    time_elapsed         | 140          |
|    total_timesteps      | 245760       |
| train/                  |              |
|    approx_kl            | 0.0025133241 |
|    clip_fraction        | 0.0482       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.11        |
|    explained_variance   | 0.988        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.00471     |
|    n_updates            | 376          |
|    policy_gradient_loss | -0.00325     |
|    std                  | 0.939        |
|    value_loss           | 0.0198       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -7.71       |
| time/                   |             |
|    fps                  | 1747        |
|    iterations           | 49          |
|    time_elapsed         | 143         |
|    total_timesteps      | 250880      |
| train/                  |             |
|    approx_kl            | 0.002602447 |
|    clip_fraction        | 0.0487      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.11       |
|    explained_variance   | 0.989       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.000108    |
|    n_updates            | 384         |
|    policy_gradient_loss | -0.0028     |
|    std                  | 0.938       |
|    value_loss           | 0.0191      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -7.7        |
| time/                   |             |
|    fps                  | 1747        |
|    iterations           | 50          |
|    time_elapsed         | 146         |
|    total_timesteps      | 256000      |
| train/                  |             |
|    approx_kl            | 0.003170746 |
|    clip_fraction        | 0.04        |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.1        |
|    explained_variance   | 0.989       |
|    learning_rate        | 0.0002      |
|    loss                 | -0.00513    |
|    n_updates            | 392         |
|    policy_gradient_loss | -0.00249    |
|    std                  | 0.938       |
|    value_loss           | 0.0191      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -7.71       |
| time/                   |             |
|    fps                  | 1747        |
|    iterations           | 51          |
|    time_elapsed         | 149         |
|    total_timesteps      | 261120      |
| train/                  |             |
|    approx_kl            | 0.002257228 |
|    clip_fraction        | 0.0222      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.1        |
|    explained_variance   | 0.988       |
|    learning_rate        | 0.0002      |
|    loss                 | -0.00288    |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.00135    |
|    std                  | 0.936       |
|    value_loss           | 0.02        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.72        |
| time/                   |              |
|    fps                  | 1746         |
|    iterations           | 52           |
|    time_elapsed         | 152          |
|    total_timesteps      | 266240       |
| train/                  |              |
|    approx_kl            | 0.0025943227 |
|    clip_fraction        | 0.0261       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.08        |
|    explained_variance   | 0.988        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.00299      |
|    n_updates            | 408          |
|    policy_gradient_loss | -0.00127     |
|    std                  | 0.934        |
|    value_loss           | 0.0201       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.71        |
| time/                   |              |
|    fps                  | 1753         |
|    iterations           | 53           |
|    time_elapsed         | 154          |
|    total_timesteps      | 271360       |
| train/                  |              |
|    approx_kl            | 0.0026729205 |
|    clip_fraction        | 0.0297       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.08        |
|    explained_variance   | 0.988        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.00134     |
|    n_updates            | 416          |
|    policy_gradient_loss | -0.00194     |
|    std                  | 0.934        |
|    value_loss           | 0.0198       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.72        |
| time/                   |              |
|    fps                  | 1764         |
|    iterations           | 54           |
|    time_elapsed         | 156          |
|    total_timesteps      | 276480       |
| train/                  |              |
|    approx_kl            | 0.0025788615 |
|    clip_fraction        | 0.0508       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.08        |
|    explained_variance   | 0.989        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.0032      |
|    n_updates            | 424          |
|    policy_gradient_loss | -0.00326     |
|    std                  | 0.934        |
|    value_loss           | 0.018        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.72        |
| time/                   |              |
|    fps                  | 1775         |
|    iterations           | 55           |
|    time_elapsed         | 158          |
|    total_timesteps      | 281600       |
| train/                  |              |
|    approx_kl            | 0.0024912918 |
|    clip_fraction        | 0.026        |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.07        |
|    explained_variance   | 0.99         |
|    learning_rate        | 0.0002       |
|    loss                 | -0.00204     |
|    n_updates            | 432          |
|    policy_gradient_loss | -0.00152     |
|    std                  | 0.934        |
|    value_loss           | 0.0171       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -7.72       |
| time/                   |             |
|    fps                  | 1789        |
|    iterations           | 56          |
|    time_elapsed         | 160         |
|    total_timesteps      | 286720      |
| train/                  |             |
|    approx_kl            | 0.002126239 |
|    clip_fraction        | 0.0205      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.07       |
|    explained_variance   | 0.991       |
|    learning_rate        | 0.0002      |
|    loss                 | -0.00372    |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.00128    |
|    std                  | 0.933       |
|    value_loss           | 0.0158      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.71        |
| time/                   |              |
|    fps                  | 1808         |
|    iterations           | 57           |
|    time_elapsed         | 161          |
|    total_timesteps      | 291840       |
| train/                  |              |
|    approx_kl            | 0.0028110035 |
|    clip_fraction        | 0.0354       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.07        |
|    explained_variance   | 0.991        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.00497     |
|    n_updates            | 448          |
|    policy_gradient_loss | -0.00176     |
|    std                  | 0.934        |
|    value_loss           | 0.0153       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.71        |
| time/                   |              |
|    fps                  | 1828         |
|    iterations           | 58           |
|    time_elapsed         | 162          |
|    total_timesteps      | 296960       |
| train/                  |              |
|    approx_kl            | 0.0025905953 |
|    clip_fraction        | 0.0273       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.07        |
|    explained_variance   | 0.991        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.000479     |
|    n_updates            | 456          |
|    policy_gradient_loss | -0.00146     |
|    std                  | 0.932        |
|    value_loss           | 0.0152       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.7         |
| time/                   |              |
|    fps                  | 1850         |
|    iterations           | 59           |
|    time_elapsed         | 163          |
|    total_timesteps      | 302080       |
| train/                  |              |
|    approx_kl            | 0.0022628964 |
|    clip_fraction        | 0.0296       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.05        |
|    explained_variance   | 0.991        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.000696    |
|    n_updates            | 464          |
|    policy_gradient_loss | -0.00214     |
|    std                  | 0.93         |
|    value_loss           | 0.0152       |
------------------------------------------
Evaluation over 5 eps: mean_reward=-7.66 ± 0.00
