Using cpu device
---------------------------------
| rollout/           |          |
|    iterations           | 46           |
|    time_elapsed         | 133          |
|    total_timesteps      | 235520       |
| train/                  |              |
|    approx_kl            | 0.0027013954 |
|    clip_fraction        | 0.0369       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.12        |
|    explained_variance   | 0.986        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.00462      |
|    n_updates            | 360          |
|    policy_gradient_loss | -0.00241     |
|    std                  | 0.94         |
|    value_loss           | 0.024        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.7         |
| time/                   |              |
|    fps                  | 1757         |
|    iterations           | 47           |
|    time_elapsed         | 136          |
|    total_timesteps      | 240640       |
| train/                  |              |
|    approx_kl            | 0.0022451498 |
|    clip_fraction        | 0.0316       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.11        |
|    explained_variance   | 0.987        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.00136     |
|    n_updates            | 368          |
|    policy_gradient_loss | -0.00181     |
|    std                  | 0.939        |
|    value_loss           | 0.0232       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.7         |
| time/                   |              |
|    fps                  | 1757         |
|    iterations           | 48           |
|    time_elapsed         | 139          |
|    total_timesteps      | 245760       |
| train/                  |              |
|    approx_kl            | 0.0032249514 |
|    clip_fraction        | 0.0527       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.11        |
|    explained_variance   | 0.987        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.000492     |
|    n_updates            | 376          |
|    policy_gradient_loss | -0.0027      |
|    std                  | 0.939        |
|    value_loss           | 0.0214       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -7.7        |
| time/                   |             |
|    fps                  | 1756        |
|    iterations           | 49          |
|    time_elapsed         | 142         |
|    total_timesteps      | 250880      |
| train/                  |             |
|    approx_kl            | 0.002106892 |
|    clip_fraction        | 0.0212      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.1        |
|    explained_variance   | 0.987       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.00203     |
|    n_updates            | 384         |
|    policy_gradient_loss | -0.00144    |
|    std                  | 0.938       |
|    value_loss           | 0.0218      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.69        |
| time/                   |              |
|    fps                  | 1755         |
|    iterations           | 50           |
|    time_elapsed         | 145          |
|    total_timesteps      | 256000       |
| train/                  |              |
|    approx_kl            | 0.0024164356 |
|    clip_fraction        | 0.0421       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.09        |
|    explained_variance   | 0.987        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.000625    |
|    n_updates            | 392          |
|    policy_gradient_loss | -0.00276     |
|    std                  | 0.935        |
|    value_loss           | 0.0225       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.71        |
| time/                   |              |
|    fps                  | 1754         |
|    iterations           | 51           |
|    time_elapsed         | 148          |
|    total_timesteps      | 261120       |
| train/                  |              |
|    approx_kl            | 0.0020301952 |
|    clip_fraction        | 0.0372       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.09        |
|    explained_variance   | 0.987        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.00139      |
|    n_updates            | 400          |
|    policy_gradient_loss | -0.00213     |
|    std                  | 0.936        |
|    value_loss           | 0.0217       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.69        |
| time/                   |              |
|    fps                  | 1753         |
|    iterations           | 52           |
|    time_elapsed         | 151          |
|    total_timesteps      | 266240       |
| train/                  |              |
|    approx_kl            | 0.0029039606 |
|    clip_fraction        | 0.0242       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.09        |
|    explained_variance   | 0.987        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.00113     |
|    n_updates            | 408          |
|    policy_gradient_loss | -0.00124     |
|    std                  | 0.936        |
|    value_loss           | 0.0219       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -7.7        |
| time/                   |             |
|    fps                  | 1760        |
|    iterations           | 53          |
|    time_elapsed         | 154         |
|    total_timesteps      | 271360      |
| train/                  |             |
|    approx_kl            | 0.003454167 |
|    clip_fraction        | 0.0377      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.09       |
|    explained_variance   | 0.987       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.0015      |
|    n_updates            | 416         |
|    policy_gradient_loss | -0.00205    |
|    std                  | 0.936       |
|    value_loss           | 0.0215      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.7         |
| time/                   |              |
|    fps                  | 1770         |
|    iterations           | 54           |
|    time_elapsed         | 156          |
|    total_timesteps      | 276480       |
| train/                  |              |
|    approx_kl            | 0.0029575336 |
|    clip_fraction        | 0.0337       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.08        |
|    explained_variance   | 0.988        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.000367    |
|    n_updates            | 424          |
|    policy_gradient_loss | -0.0018      |
|    std                  | 0.934        |
|    value_loss           | 0.0201       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -7.69       |
| time/                   |             |
|    fps                  | 1781        |
|    iterations           | 55          |
|    time_elapsed         | 158         |
|    total_timesteps      | 281600      |
| train/                  |             |
|    approx_kl            | 0.003073693 |
|    clip_fraction        | 0.0593      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.06       |
|    explained_variance   | 0.988       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.000146    |
|    n_updates            | 432         |
|    policy_gradient_loss | -0.00311    |
|    std                  | 0.931       |
|    value_loss           | 0.0204      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -7.69       |
| time/                   |             |
|    fps                  | 1796        |
|    iterations           | 56          |
|    time_elapsed         | 159         |
|    total_timesteps      | 286720      |
| train/                  |             |
|    approx_kl            | 0.003248366 |
|    clip_fraction        | 0.0424      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.05       |
|    explained_variance   | 0.988       |
|    learning_rate        | 0.0002      |
|    loss                 | -0.000391   |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.00192    |
|    std                  | 0.93        |
|    value_loss           | 0.0208      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.69        |
| time/                   |              |
|    fps                  | 1815         |
|    iterations           | 57           |
|    time_elapsed         | 160          |
|    total_timesteps      | 291840       |
| train/                  |              |
|    approx_kl            | 0.0021566406 |
|    clip_fraction        | 0.0367       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.04        |
|    explained_variance   | 0.989        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.000961    |
|    n_updates            | 448          |
|    policy_gradient_loss | -0.00194     |
|    std                  | 0.929        |
|    value_loss           | 0.0197       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.7         |
| time/                   |              |
|    fps                  | 1836         |
|    iterations           | 58           |
|    time_elapsed         | 161          |
|    total_timesteps      | 296960       |
| train/                  |              |
|    approx_kl            | 0.0026503825 |
|    clip_fraction        | 0.0293       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.04        |
|    explained_variance   | 0.989        |
|    learning_rate        | 0.0002       |
|    loss                 | -1.2e-05     |
|    n_updates            | 456          |
|    policy_gradient_loss | -0.00135     |
|    std                  | 0.929        |
|    value_loss           | 0.0191       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -7.69       |
| time/                   |             |
|    fps                  | 1857        |
|    iterations           | 59          |
|    time_elapsed         | 162         |
|    total_timesteps      | 302080      |
| train/                  |             |
|    approx_kl            | 0.002512367 |
|    clip_fraction        | 0.0245      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.04       |
|    explained_variance   | 0.989       |
|    learning_rate        | 0.0002      |
|    loss                 | -0.0028     |
|    n_updates            | 464         |
|    policy_gradient_loss | -0.00117    |
|    std                  | 0.928       |
|    value_loss           | 0.0189      |
-----------------------------------------
Evaluation over 5 eps: mean_reward=-7.65 ± 0.00
